id,job_role,skills_required,experience_years,level,job_description
1,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
2,Software Tester,"Selenium, Automation Testing, JIRA",4,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
3,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
4,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
5,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
6,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
7,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
8,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
9,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
10,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
11,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
12,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
13,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
14,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
15,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
16,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
17,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
18,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
19,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
20,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
21,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
22,Java Developer,"Java, Spring Boot, Hibernate, MySQL",4,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
23,Java Developer,"Java, Spring Boot, Hibernate, MySQL",6,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
24,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
25,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",2,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
26,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
27,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
28,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
29,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
30,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
31,Java Developer,"Java, Spring Boot, Hibernate, MySQL",2,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
32,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
33,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
34,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
35,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
36,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
